Longitude,Latitude,Deep
-84.748954,31.172244,14.6
-84.748985,31.172238,13.3
-84.749017,31.172232,11.8
-84.749048,31.172227,14.5
-84.74908,31.172222,14.6
-84.749111,31.172217,15.6
-84.749142,31.172211,13.6
-84.749174,31.172206,12.9
-84.749205,31.1722,11.3
-84.749237,31.172194,11.1
-84.749268,31.172188,13.1
-84.7493,31.172181,13.9
-84.74933,31.172175,14.1
-84.749361,31.17217,14
-84.749393,31.172165,15.5
-84.749424,31.172159,15.8
-84.749455,31.172153,14.9
-84.749487,31.172147,13.5
-84.749518,31.172141,14.3
-84.74955,31.172135,14
-84.749581,31.172128,12.3
-84.749612,31.172122,8
-84.749644,31.172117,11.2
-84.749675,31.172111,12.2
-84.749707,31.172106,11.4
-84.749738,31.1721,11.1
-84.74977,31.172094,13
-84.749802,31.172088,13.6
-84.749834,31.172082,12.9
-84.749866,31.172075,7.8
-84.749897,31.17207,9.5
-84.749927,31.172065,15.7
-84.749958,31.172059,13.6
-84.749988,31.172053,12.3
-84.750019,31.172048,14.7
-84.75005,31.172042,14.3
-84.75008,31.172035,13.2
-84.750111,31.172029,12.6
-84.750142,31.172023,12.2
-84.750172,31.172015,11.8
-84.750202,31.172009,11.5
-84.750234,31.172004,10.6
-84.750265,31.171999,12.4
-84.750296,31.171994,11.8
-84.750327,31.171989,11.1
-84.750358,31.171984,7.9
-84.75039,31.171978,7.9
-84.75042,31.171972,4.3
-84.750451,31.171965,3.8
-84.750482,31.171959,8.4
-84.750513,31.171952,9.6
-84.750544,31.171945,8.8
-84.750575,31.171938,7.4
-84.750607,31.171933,4.9
-84.750638,31.171928,6.5
-84.750668,31.171923,5.1
-84.750699,31.171917,5.1
-84.750731,31.171911,5.2
-84.750762,31.171906,2.9
-84.750793,31.1719,4.2
-84.750824,31.171894,5.2
-84.750855,31.171888,5.4
-84.750886,31.171882,5.1
-84.750918,31.171876,5
-84.750949,31.17187,5.6
-84.750981,31.171864,6.6
-84.751012,31.171858,7.8
-84.751044,31.171852,8
-84.751075,31.171847,7.4
-84.751106,31.171841,7.3
-84.751138,31.171834,5.9
-84.75117,31.171828,3.4
-84.751202,31.171821,5.1
-84.751234,31.171814,4.2
-84.751266,31.171808,4
-84.751296,31.171803,3.5
-84.751327,31.171798,4.5
-84.751358,31.171793,7.3
-84.751389,31.171788,3.8
-84.75142,31.171783,3.2
-84.751452,31.171777,5.8
-84.751483,31.171771,6.1
-84.751514,31.171764,6.1
-84.751545,31.171758,5.7
-84.751576,31.171753,5.5
-84.751607,31.171747,5.3
-84.751638,31.171742,4.8
-84.751669,31.171736,4.5
-84.7517,31.171729,5.9
-84.75173,31.171724,5.8
-84.751761,31.171717,4.5
-84.751792,31.171711,2.3
-84.751824,31.171705,2.9
-84.751855,31.171698,4.7
-84.751886,31.171692,5.4
-84.751917,31.171686,2.4
-84.751948,31.17168,6
-84.75198,31.171674,6.9
-84.75201,31.171669,5.3
-84.752041,31.171663,4
-84.752072,31.171657,8.9
-84.752103,31.171651,8.4
-84.752134,31.171645,5.6
-84.752164,31.171639,6.2
-84.752195,31.171633,6.8
-84.752226,31.171629,11.1
-84.752257,31.171623,11.4
-84.752288,31.171618,8.7
-84.752319,31.171612,8.3
-84.75235,31.171607,10.9
-84.752381,31.171601,12.4
-84.752412,31.171596,6.6
-84.752443,31.17159,6.1
-84.752474,31.171583,11.5
-84.752506,31.171577,8.1
-84.752537,31.171571,7.2
-84.752567,31.171565,4.9
-84.752598,31.171559,7.5
-84.752628,31.171553,10.9
-84.752658,31.171547,11.6
-84.752689,31.171541,7.7
-84.75272,31.171535,8.8
-84.752752,31.171529,4.5
-84.752783,31.171524,3.5
-84.752814,31.17152,10.8
-84.752846,31.171514,7.1
-84.752877,31.171508,8.4
-84.752907,31.171502,9.6
-84.752937,31.171495,2.8
-84.752965,31.17149,4.9
-84.752989,31.171486,6.1
-84.753012,31.171481,4.6
-84.753038,31.171477,4.5
-84.753117,31.171463,3.1
-84.753143,31.171459,3
-84.753169,31.171453,1.4
-84.753195,31.171447,6.7
-84.75322,31.171442,6
-84.753246,31.171437,4.7
-84.753272,31.171431,6.6
-84.7533,31.171426,5.8
-84.753328,31.171421,6.7
-84.753355,31.171416,9
-84.753382,31.171411,6.8
-84.753409,31.171406,6.6
-84.753437,31.171401,8.3
-84.753465,31.171396,6.1
-84.753493,31.171391,5.2
-84.75352,31.171385,7.1
-84.753547,31.171379,10.3
-84.753575,31.171373,11.1
-84.753602,31.171368,5.9
-84.75363,31.171364,5.5
-84.753657,31.171359,3.6
-84.753685,31.171354,6.2
-84.753712,31.171349,8.7
-84.75374,31.171344,9
-84.753768,31.17134,14.1
-84.753796,31.171335,8.8
-84.753823,31.17133,9.9
-84.75385,31.171324,9.9
-84.753878,31.171318,12.5
-84.753906,31.171313,9.1
-84.753931,31.171306,9.2
-84.753953,31.171301,8.6
-84.753971,31.171297,7.8
-84.75399,31.171293,9.5
-84.75401,31.171291,7.4
-84.754031,31.171288,2.1
-84.754302,31.171386,4.3
-84.75428,31.171389,3.4
-84.754255,31.171393,6.9
-84.754229,31.171397,10.8
-84.754203,31.171402,15
-84.754176,31.171407,12.7
-84.754144,31.171413,9.7
-84.754111,31.17142,16.6
-84.754078,31.171425,19.9
-84.754045,31.171432,19.5
-84.754012,31.171439,10.8
-84.753979,31.171445,12
-84.753946,31.171452,12.9
-84.753913,31.171458,13.8
-84.75388,31.171464,11.5
-84.753848,31.17147,13.2
-84.753815,31.171477,12.9
-84.753782,31.171484,10.1
-84.753749,31.171489,10.7
-84.753716,31.171494,9.6
-84.753683,31.1715,7.6
-84.75365,31.171506,5.6
-84.753617,31.171511,3.6
-84.753584,31.171517,6.3
-84.753552,31.171524,8.2
-84.753519,31.17153,7.2
-84.753486,31.171536,10.2
-84.753454,31.171542,10.2
-84.753421,31.171549,10.6
-84.753389,31.171554,9.5
-84.753357,31.171561,7.2
-84.753328,31.171568,7.2
-84.7533,31.171574,6
-84.753274,31.171578,5.2
-84.753249,31.171583,11.7
-84.753225,31.171587,9
-84.753201,31.171591,5.6
-84.753176,31.171594,1.8
-84.753151,31.171598,4.3
-84.753127,31.171604,5.2
-84.753103,31.171609,6.4
-84.753078,31.171613,6
-84.753051,31.171619,9.5
-84.753021,31.171625,3.9
-84.75299,31.171631,8.8
-84.75296,31.171637,10.4
-84.752929,31.171644,11.9
-84.752898,31.171649,5.3
-84.752867,31.171655,8.2
-84.752836,31.171662,5.9
-84.752805,31.171669,2.4
-84.752774,31.171675,1.7
-84.752744,31.17168,0.8
-84.752713,31.171686,6.4
-84.752681,31.171692,4.2
-84.75265,31.171697,6.7
-84.752618,31.171702,6.8
-84.752587,31.171707,3
-84.752556,31.171713,1.5
-84.752524,31.171719,2.9
