Easting[m], Northing[m], CH-1.0m
669910.445,5856615.652,6.535
669910.636,5856616.039,5.949
669910.809,5856616.393,5.636
669911.017,5856616.815,5.832
669911.19,5856617.179,5.636
669911.41,5856617.672,5.09
669911.656,5856618.222,4.855
669911.811,5856618.569,4.972
669912.016,5856619.028,5.285
669912.25,5856619.554,5.402
669912.373,5856619.83,5.129
669912.529,5856620.182,5.168
669912.696,5856620.557,5.402
669912.892,5856620.998,5.519
669915.564,5856627.18,4.699
669915.741,5856627.564,4.582
669915.882,5856627.872,4.699
669916.074,5856628.288,4.582
669916.217,5856628.597,4.972
669916.406,5856629.009,5.48
669916.577,5856629.336,5.09
669916.765,5856629.692,5.285
669916.952,5856630.044,5.129
669917.108,5856630.338,4.972
669917.307,5856630.716,5.129
669917.495,5856631.12,5.324
669917.608,5856631.38,5.519
669917.746,5856631.696,5.441
669917.916,5856632.085,5.168
669918.037,5856632.363,6.105
669918.201,5856632.733,5.285
669918.36,5856633.077,5.168
669918.493,5856633.366,5.519
669918.646,5856633.698,5.09
669918.787,5856634.004,5.48
669918.952,5856634.362,6.144
669919.115,5856634.692,5.871
669919.28,5856635.027,5.597
669919.453,5856635.377,5.676
669919.636,5856635.746,6.496
669919.768,5856636.02,6.261
669919.934,5856636.443,6.535
669920.044,5856636.724,6.105
669920.165,5856637.034,6.183
669920.312,5856637.41,5.949
669920.44,5856637.738,5.48
669920.581,5856638.058,5.597
669920.721,5856638.365,5.207
669920.853,5856638.654,4.386
669920.984,5856638.943,4.543
669921.12,5856639.24,5.011
669921.246,5856639.522,4.972
669921.345,5856639.747,4.738
669921.423,5856639.926,4.621
669921.53,5856640.17,4.308
669921.595,5856640.319,4.504
669921.686,5856640.552,4.23
669921.722,5856640.695,4.347
669921.773,5856640.896,5.129
669921.814,5856641.056,4.621
669921.865,5856641.258,4.777
669921.907,5856641.425,5.051
669921.886,5856641.603,4.738
669921.845,5856641.807,5.558
669921.808,5856641.99,5.363
669921.768,5856642.189,4.66
669921.728,5856642.385,5.09
669921.698,5856642.532,5.441
669921.669,5856642.674,5.207
669921.644,5856642.8,5.011
669921.618,5856642.928,5.402
669921.589,5856643.069,5.597
669919.28,5856645.159,4.308
669919.232,5856645.171,4.23
669919.167,5856645.187,4.972
