sampling_poin_no,Latitude,Longitude,K,P,NO3,SO4,CaCO3
751,33.1136,73.0127,107.5,5.34,8.3,7.67,9.67
763,33.1137,73.0165,89.54,5.78,7.45,7.89,8.57
767,33.1137,73.0179,133.42,6.58,3.49,8.61,5.37
769,33.1133,73.0104,107.66,5.42,6.51,7.54,5.87
773,33.1134,73.0127,141.23,6.83,3.49,6.14,6.12
774,33.1134,73.013,113.99,1.82,3.07,9.24,7
778,33.1134,73.0143,97.6,7.76,7,10.57,6.59
782,33.1134,73.0156,132,4.43,10.2,11.34,9.86
788,33.113,73.0104,109.5,1.37,8.87,18,7.57
789,33.1131,73.0108,141.98,4.76,2.51,7.88,5.54
791,33.1131,73.012,115.7,2.98,7.23,16.59,8.16
795,33.1131,73.0133,124.4,3.6,9.6,16.23,8.9
809,33.1128,73.0117,117.86,1.56,3.94,6.61,5.11
811,33.1128,73.0124,123,3.34,9.45,17.34,10.19
812,33.1128,73.0127,122.87,1.97,2.51,9.91,5.63
816,33.1128,73.0139,128.4,3.57,9,15.75,9.1
817,33.1129,73.0143,147,5.67,7.05,9.98,9.4
820,33.1128,73.0153,127.5,5.45,8.13,5.34,8.69
828,33.1125,73.0124,117.91,5.55,3.38,7.34,9.58
832,33.1126,73.0137,114.98,5.64,2.81,7.14,6.1
834,33.1125,73.015,105.78,7.43,1.46,8.12,6.98
835,33.1126,73.0153,122.7,7.12,8.13,7.98,11
837,33.1123,73.0114,133.98,4.54,2.64,4.67,5.37
840,33.1122,73.0131,110.11,4.98,2.58,9.12,4.77
