LONGITUDE	LATITUDE
-54,004844596	-25,406382654
-54,004830156	-25,406387925
-54,004817736	-25,406392824
-54,004806565	-25,406398114
-54,0047927	-25,406402961
-54,004780461	-25,406407759
-54,004767081	-25,406412869
-54,004753738	-25,406417764
-54,004741159	-25,40642267
-54,004727852	-25,406427521
-54,004713385	-25,406432063
-54,004699838	-25,406435545
-54,004686458	-25,406440482
-54,004673289	-25,406445616
-54,004659641	-25,406450413
-54,004644773	-25,406455497
-54,004630644	-25,406460163
-54,004616675	-25,406464123
-54,004604328	-25,406467598
-54,004591063	-25,406471157
-54,004576905	-25,406475064
-54,004563173	-25,406479688
-54,004548969	-25,406484413
-54,004534706	-25,406488566
-54,004521874	-25,406492271
-54,004507969	-25,406496242
-54,004493967	-25,40650037
-54,004480225	-25,406504012
-54,004467008	-25,406507934
-54,004453184	-25,406511844
-54,004439932	-25,406516087
-54,004427786	-25,40652019
-54,004413535	-25,40652483
-54,004398836	-25,406529382
-54,004385209	-25,406532434
-54,004371802	-25,406536151
-54,004357886	-25,406541165
-54,004343835	-25,406546763
-54,004330341	-25,406551855
-54,004316088	-25,406556394
-54,004302986	-25,406559605
-54,004290096	-25,406563373
-54,004276692	-25,406568019
-54,004264053	-25,406571748
-54,004250496	-25,406575511
-54,00423767	-25,406579881
-54,004224166	-25,406584999
-54,004210914	-25,406589582
-54,004196399	-25,406592794
-54,00418376	-25,406595479
-54,004169911	-25,406599367
-54,004154963	-25,406604162
-54,004141679	-25,4066082
-54,004128898	-25,406612081
-54,004115644	-25,406617484
-54,004102493	-25,406622754
-54,004089273	-25,406627362
-54,004074736	-25,406630879
-54,004062367	-25,40663453
-54,004048957	-25,406638601
-54,004035745	-25,406643975
-54,004022279	-25,406649028
-54,004007699	-25,406652915
-54,003994437	-25,406656351
-54,003981452	-25,406660058
-54,00396876	-25,406663798
-54,003955609	-25,406666874
-54,003941969	-25,406671436
-54,003928458	-25,40667698
-54,003913259	-25,406681487
-54,003899975	-25,406684757
-54,003886793	-25,406688256
-54,003873791	-25,40669357
-54,00386065	-25,406698185
-54,00384667	-25,406703441
-54,003832533	-25,406709197
-54,003818747	-25,406713505
-54,003805236	-25,40671847
-54,003790526	-25,406723702
-54,003776375	-25,40672759
-54,003762892	-25,406731242
-54,003748893	-25,406736352
-54,003735198	-25,406742302
-54,003721342	-25,406747395
-54,003707612	-25,406750887
-54,003694934	-25,406753578
-54,003684042	-25,406757711
-54,003672777	-25,40676399
-54,003662566	-25,406770037
-54,003654543	-25,406772985
-54,003654331	-25,406772285
-54,003644214	-25,406813811
