X Location,Y Location,EC_SH,EC_DP,ELEV_Ft
-86.1447983,31.2783783,1.2,1.5,65.3
-86.1449083,31.2783883,2.4,2.6,65.7
-86.14495,31.27839,3.4,3,65.9
-86.145035,31.2783967,3.5,3.3,66.1
-86.1450783,31.2784,4.2,3.7,66.2
-86.14512,31.2784033,3.1,3.2,66.3
-86.1453549,31.2784183,4.9,4.2,67.8
-86.1453966,31.2784216,5.7,5.2,68
-86.14544,31.278425,6.8,5.3,67.9
-86.1455266,31.2784316,5.9,4.5,68.1
-86.1459783,31.278465,4,3.7,70.6
-86.1460216,31.2784683,4.4,4.3,70.7
-86.1462299,31.2784817,4.9,3.7,71.4
-86.1465133,31.278505,6.9,5.2,73
-86.1465533,31.2785083,7.4,5.4,73.3
-86.1465933,31.2785116,7,5.3,73.6
-86.14663,31.278515,5.2,4,73.8
-86.1466683,31.2785167,6.5,4.8,74.1
-86.14671,31.27852,7.5,6,74.4
-86.1467483,31.2785233,10.4,7.7,74.5
-86.1467866,31.278525,8.5,6.2,74.5
-86.1468216,31.2785267,8.2,5.9,74.9
-86.1468516,31.2785283,6.5,5.5,75.1
-86.14687,31.27853,6.2,4.7,75.4
-86.14688,31.27853,6,4.4,75.7
-86.1469466,31.2784183,5.4,4.6,75.4
-86.1469366,31.2784066,6.6,4.7,75.1
-86.1469299,31.2784,6,4.5,74.8
-86.1469233,31.278395,6.2,-4,74.5
-86.1469133,31.27839,5.9,4.7,74.4
-86.1468983,31.2783867,6.8,5,74.3
-86.1468733,31.2783817,9.9,6.3,74
-86.1468466,31.2783783,9.4,7.7,73.7
-86.1468183,31.278375,7.8,5.8,73.4
-86.1467866,31.2783717,6.4,4.9,73.3
-86.1467516,31.27837,7,5.5,73.1
-86.1467166,31.2783683,7,6.1,72.8
-86.14668,31.278365,6.8,5.5,72.5
-86.1465583,31.278355,7,5.9,71.6
-86.1465366,31.2783533,7.9,6.3,71.6
-86.14649,31.2783483,5.5,4.7,71.8
-86.1464633,31.278345,5.8,4.9,71.6
-86.146435,31.2783433,4.9,4.6,71.2
-86.146405,31.2783417,5,4.4,70.7
-86.1462966,31.2783316,4.2,3.5,69.9
-86.14626,31.27833,6,4.6,69.7
-86.1462233,31.2783283,6.5,5,69.5
-86.14619,31.2783266,6.2,5.2,69.5
-86.1460816,31.2783166,3.3,3.6,68.9
-86.1460433,31.2783133,3.4,3.8,68.7
-86.1460049,31.2783117,3.6,3.3,68.5
-86.1458416,31.2782966,5.2,5,67.8
-86.1458016,31.2782933,5.5,4.8,67.6
-86.1457633,31.27829,5.4,4.8,67.3
-86.1457233,31.2782867,5.5,5.1,67.1
-86.1456866,31.2782833,6.8,5.3,66.9
-86.14565,31.2782817,6.9,5.2,66.7
-86.145615,31.27828,6,5.1,66.7
-86.1455833,31.2782783,6,4.6,66.8
-86.1454933,31.2782717,2,3.3,67.9
-86.1454816,31.2782683,1.8,1.6,67.8
-86.1455983,31.2781716,1,1.1,66.2
-86.1459066,31.2782033,4.6,3.8,67.2
-86.1459416,31.2782067,4.1,3.7,67.5
-86.145975,31.2782083,1.6,2.2,67.6
-86.1461116,31.2782217,4.1,3.6,68.3
-86.1461433,31.2782233,2.3,2.8,68.6
-86.146295,31.2782383,6.4,6.1,69.9
-86.1463283,31.27824,7.1,5.7,70
-86.1464616,31.2782483,6.7,5.4,71
-86.1464883,31.2782517,5.9,5.2,71.3
-86.1465133,31.2782533,5.5,4.8,71.6
-86.1467249,31.2782733,9.8,7,73.2
-86.1467549,31.278275,8.7,6.9,73.5
-86.146785,31.2782783,7,5.3,73.6
-86.1468133,31.27828,5.8,4.2,73.6
-86.14684,31.2782817,6.3,4.2,73.8
-86.146885,31.278285,7.5,6.2,74.3
-86.1468983,31.278285,7.3,6.1,74.3
-86.14696,31.2781883,4,3,74.4
-86.1469283,31.278175,4.2,3.9,74
-86.1469,31.2781716,7,5.5,73.2
-86.1467183,31.2781616,8.8,5.9,72
-86.1461833,31.2781217,2,2.2,68.9
-86.1461433,31.2781167,1.7,2.2,68.8
-86.14591,31.2781,1.2,1.2,68.1
-86.1460633,31.2779866,1.6,1.2,68.1
-86.146885,31.2780317,4.3,3,72.8
-86.1469116,31.278025,4.7,1.2,72.6
-86.146915,31.278025,0.9,0.6,72.6
-86.1466816,31.2778783,7.2,5.2,69.7
-86.14625,31.2778567,3.7,3.3,67.5
-86.144645,31.2794217,2.1,2,71.7
-86.1446433,31.27941,4,3,71.6
-86.1446416,31.27939,3.3,2.9,71.5
-86.1446433,31.2793683,3.8,3.4,71.5
