X		 ,Y			,Z
650003.81,4347615.85,90.38
649999.55,4347615.77,105.63
649988.17,4347615.56,96.63
650009.99,4347615.98,84.25
649979.73,4347615.43,65.63
650002.97,4347615.87,89.25
650012.40,4347616.05,84.25
649993.21,4347615.73,95.25
649992.20,4347615.72,92.38
649987.19,4347615.64,102.25
650015.02,4347616.20,93.88
649972.78,4347615.42,38.50
649983.18,4347615.62,95.63
649999.61,4347615.94,106.75
650003.02,4347616.01,88.38
649988.25,4347615.74,94.88
650010.09,4347616.17,84.63
649976.63,4347615.53,60.38
650003.89,4347616.06,90.50
650012.49,4347616.26,82.50
649979.82,4347615.64,64.88
649977.23,4347615.59,60.75
649993.27,4347615.90,95.38
650015.08,4347616.33,94.63
649992.28,4347615.92,92.00
649987.27,4347615.83,102.25
649999.67,4347616.07,97.25
650003.07,4347616.14,87.13
649999.66,4347616.11,105.13
649976.70,4347615.67,60.50
649988.32,4347615.91,96.75
649983.28,4347615.82,95.63
650010.19,4347616.35,83.00
650015.14,4347616.48,93.38
649979.91,4347615.80,66.50
650003.97,4347616.27,89.50
649977.27,4347615.76,62.50
650003.12,4347616.28,88.38
649993.34,4347616.10,92.75
650012.57,4347616.48,81.38
649987.35,4347616.02,102.88
649976.77,4347615.82,60.38
649999.72,4347616.28,104.50
649988.39,4347616.09,96.63
650010.28,4347616.52,84.13
650015.20,4347616.61,97.50
649999.76,4347616.33,94.50
649979.00,4347615.96,67.88
649977.30,4347615.92,63.88
649983.38,4347616.03,95.63
650003.17,4347616.42,89.25
649976.85,4347615.98,62.13
649993.41,4347616.30,91.13
649999.77,4347616.44,102.50
649987.42,4347616.21,103.13
650012.66,4347616.70,83.00
650015.25,4347616.75,98.63
649988.46,4347616.27,95.75
650003.22,4347616.55,88.50
649980.09,4347616.13,70.13
649977.33,4347616.08,65.38
649972.94,4347616.00,45.38
649976.93,4347616.13,63.00
649999.84,4347616.58,94.63
650004.14,4347616.67,92.63
650015.31,4347616.90,99.63
649999.82,4347616.60,100.38
650003.26,4347616.68,89.13
649987.50,4347616.39,103.00
649993.49,4347616.51,92.38
650012.74,4347616.91,85.25
649977.35,4347616.23,62.75
649988.54,4347616.45,98.75
649980.18,4347616.29,71.38
650010.48,4347616.89,84.38
649973.01,4347616.19,45.13
649977.00,4347616.29,63.75
650015.37,4347617.04,99.50
649992.53,4347616.60,91.00
650004.23,4347616.87,92.00
649987.58,4347616.58,101.13
649977.38,4347616.40,62.88
649980.27,4347616.45,72.00
649999.92,4347616.83,97.75
649993.57,4347616.72,94.88
649988.62,4347616.65,99.25
650012.83,4347617.11,86.50
650010.56,4347617.08,84.50
649977.08,4347616.44,62.38
649983.61,4347616.57,95.50
650015.43,4347617.18,99.63
649973.07,4347616.39,48.13
649992.61,4347616.83,91.88
650004.32,4347617.06,90.88
649987.65,4347616.75,100.75
649977.41,4347616.56,67.63
649980.36,4347616.62,73.75
650015.49,4347617.31,99.38
649977.15,4347616.58,64.25
650003.42,4347617.11,87.50
649993.64,4347616.92,94.50
650010.63,4347617.26,85.13
649983.68,4347616.75,97.25
650012.92,4347617.33,86.75
650000.01,4347617.09,99.13
649988.71,4347616.88,99.50
649973.14,4347616.59,49.75
649999.00,4347617.12,102.00
649977.44,4347616.71,67.50
649980.45,4347616.78,75.00
650015.57,4347617.46,99.38
650004.40,4347617.26,92.63
649971.71,4347616.63,73.50
649977.23,4347616.74,64.25
649987.72,4347616.94,97.88
649992.69,4347617.05,91.88
649993.71,4347617.12,96.25
650003.49,4347617.30,89.38
649983.76,4347616.93,94.63
650010.71,4347617.45,85.38
649973.20,4347616.78,52.25
649988.79,4347617.08,100.63
650000.06,4347617.30,101.00
650013.00,4347617.55,86.50
649980.54,4347616.93,77.25
650015.65,4347617.61,97.63
650000.09,4347617.34,100.25
649987.81,4347617.12,100.00
650004.49,4347617.46,90.63
650010.78,4347617.62,85.38
649971.78,4347616.87,75.38
649992.77,4347617.28,92.50
649977.33,4347616.99,65.13
649983.83,4347617.11,94.13
650003.56,4347617.50,88.88
649993.79,4347617.32,98.13
650015.73,4347617.76,99.13
650000.13,4347617.48,101.25
650013.10,4347617.74,87.13
649973.27,4347616.98,54.38
649988.88,4347617.31,100.88
649987.90,4347617.29,100.88
650004.58,4347617.66,91.88
650000.17,4347617.58,95.88
650010.86,4347617.81,87.25
650015.81,4347617.90,99.13
649983.91,4347617.29,95.25
650003.63,4347617.67,87.38
649980.70,4347617.26,83.50
649977.53,4347617.21,70.88
649993.87,4347617.53,96.63
649992.86,4347617.51,91.50
650000.19,4347617.66,102.50
649971.89,4347617.12,76.00
650013.20,4347617.91,86.63
649977.43,4347617.24,64.00
649973.33,4347617.17,58.13
649987.99,4347617.48,100.63
650015.88,4347618.05,98.88
649988.98,4347617.54,102.63
650004.67,4347617.86,91.38
649983.98,4347617.47,97.63
